method,path,body,single_q,double_q,dashes,braces,spaces,SQL Badwords,XSS Badwords,Command Injection Badords,class
GET,/tests/search.php?q=lol%20video%3c!--%22href=javas%26%23x63ript:alert%281%29%20style=font-size:50px;display:block;color:transparent;background:url%28%27//brutelogic.com.br/webgun/img/youtube1.jpg%27%29;background-repeat:no-repeat%20--%3e%3cmath%3e%3c!--,,2,1,3,2,3,0,1,0,Legit
GET,/en-us/docs/web/api/atob,,0,0,0,0,0,0,0,0,Legit
GET,/xss.php?a=inject+here,,0,0,0,0,1,0,0,0,Legit
GET,/tests/sinks.html?name=%3cimg+src+onerror=alert(1)%3e,,0,0,0,1,2,0,2,0,Legit
GET,/en-us/docs/web/http/x-frame-options,,0,0,0,0,0,0,0,0,Legit
GET,/y7vb13ip8u,,0,0,0,0,0,0,0,0,Legit
GET,/lab/multix2.php?p=003&q=004,,0,0,0,0,0,0,0,0,Legit
GET,/lab/multix1.php?p=001&q=002,,0,0,0,0,0,0,0,0,Legit
GET,/,,0,0,0,0,0,0,0,0,Legit
GET,/wiki/data_uri_scheme,,0,0,0,0,0,0,0,0,Legit
GET,/robots.txt,,0,0,0,0,0,0,0,0,Legit
GET,/uio3i6ifzg,,0,0,0,0,0,0,0,0,Legit
